metab_id	Metabolite	Compound	ID	m/z	Retention time	Mode	Adducts	Formula	Fragmentation Score	Theoretical Fragmentation Score	level	Mass Error (ppm)	KEGG Compound ID	Library ID	compound_source	CAS ID	drugbank_id	drugbank	Score	SMILES	ORG_1	ORG_2	ORG_3	ORG_4	ORG_5	ORG_6	ORG_7	ORG_8	ORG_9	ELC_1	ELC_2	ELC_3	ELC_4	ELC_5	ELC_6	ELC_7	ELC_8	ELC_9	ELC_10	ELC_11	CON_1	CON_2	CON_3	CON_4	CON_5	CON_6	CON_7	CON_8	CON_9	CON_10	QC01	QC02	QC03
metab_2631	metab_2631	2.79_434.2021m/z	pos_2632	434.2021095	2.794666667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.598213361	5.629669735	5.304923956	4.800351077	4.334964597	4.423581921	5.837250224	5.4576413	5.640791917	5.137089099	4.771059948	5.677078454	5.225574374	4.965851143	5.53872829	5.593252194	5.712748991	5.445044628	5.672168238	5.365505041	4.302289245	4.672641558	5.464969233	5.4607065	5.700162015	5.648901605	5.819015677	5.574077094	5.743342884	5.630629654	5.371740542	5.330152546	5.143165218
metab_2632	metab_2632	2.79_277.1658m/z	pos_2633	277.1658269	2.794666667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.132237788	5.480939161	5.508847667	6.039567249	5.856822188	5.811382438	4.839202049	5.544563442	4.538428682	5.679859063	5.57867415	5.797174482	4.668923107	5.713765693	5.184952421	5.67646226	5.369407697	5.315770724	5.304557361	5.390126887	5.63140391	5.194198043	4.192258123	5.135453189	5.478562178	5.217587115	5.887780948	5.873014644	5.752502476	5.757893429	5.584527327	5.588686551	5.569471641
metab_2633	metab_2633	2.78_829.1679m/z	pos_2634	829.1678564	2.779533333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.443885714	4.70024827	4.873447065	4.642702956	4.640512741	4.668164523	6.165211898	6.230316889	6.311361735	6.033891782	5.659595889	5.644319975	4.631328031	5.86485795	4.625053139	6.114941723	5.909561242	5.892474468	4.617049271	5.915163778	5.48698853	4.582981004	4.620321753	5.545527386	4.886733175	5.06190474	5.656735878	4.9565758	6.134336411	5.626766724	5.489353748	5.491499001	5.678152039
metab_2634	metab_2634	2.78_477.1006m/z	pos_2635	477.1006052	2.779533333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.663706378	4.739708272	4.189843746	4.227833513	4.225643379	4.238700674	5.265282904	5.226160798	4.398876111	5.903041983	5.675917169	4.166681121	4.216459008	5.427289596	4.210184352	6.176094203	5.950156013	5.670972779	4.278371609	5.799265282	5.854296974	4.711742796	4.205453147	5.114202318	4.861109632	4.81825796	5.312600256	5.282494392	5.681782077	5.385635293	5.2615865	5.405418832	5.247068741
metab_2635	metab_2635	2.77_915.1613m/z	pos_2636	915.1612895	2.772083333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.499208189	5.430135557	5.420321413	6.289826254	6.098666622	6.622095633	5.372802897	5.579337682	5.951533341	6.023514612	5.847769982	5.715696622	5.519629623	5.983330133	6.079387753	5.800107383	5.80166036	5.832447765	6.104554344	5.853435384	6.194254712	5.316961877	5.098247872	5.499531483	5.259408813	5.78483009	6.101880142	6.250641037	6.226172004	6.21967843	5.924041393	5.991914214	5.915129601
metab_2636	metab_2636	2.77_545.3292m/z	pos_2637	545.3292131	2.772083333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.178884888	5.350057428	4.860672885	4.413593479	4.411403299	4.424460861	5.081765578	5.23031981	5.087165755	4.376682982	4.784366805	5.209958539	4.898975156	4.714904045	5.037269711	5.066675814	5.168022514	4.902608835	4.988467011	4.967254976	4.601836298	4.861483409	4.39121264	4.700320543	5.108286402	4.990821553	5.351502558	4.40065235	5.385641029	4.996784801	4.949133143	5.123444674	4.973837423
metab_2637	Urolithin C 3-Glucuronide	2.76_438.1029m/z	pos_2638	438.102855	2.764383333	pos	M+NH4	C19H16O11	0	64.6	B(ii)	-0.551972578	-	HMDB0142405	-	1268248-76-5	-	-	50.8	O=C(O)C1OC(OC2=CC3=C(C=C2)C2=C(C=C(O)C(O)=C2)C(=O)O3)C(O)C(O)C1O	4.699740243	4.282169797	4.699633242	4.577957419	4.690303771	4.334297594	5.775819504	5.904883655	6.128607667	5.708270103	5.471004399	5.262932609	4.550182675	5.442723462	4.199967378	2.667324779	5.302499629	5.483042887	4.96681476	5.357842624	2.662874414	2.638073783	2.675333125	4.907223783	5.056707457	5.071196334	5.137015321	4.979286039	5.101201367	5.008955727	5.207535231	5.261245375	5.168784193
metab_2638	metab_2638	2.76_367.0636m/z	pos_2639	367.0636225	2.764383333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.5581951	5.513046652	5.425973426	5.731170927	5.781523528	5.815896914	5.870157355	5.764267755	6.120443221	5.716436953	5.651542553	5.752860781	5.443313456	5.809269087	5.563455008	5.672756031	5.731911851	5.710388309	5.645196756	5.674919249	5.59035961	5.101374193	5.326985481	5.460637766	5.453166195	5.499881097	5.779291677	5.659251955	5.993514548	5.712874386	5.709638973	5.600227759	5.706444106
metab_2639	4-Methoxycinnamic Acid	2.76_161.0597m/z	pos_2640	161.0597045	2.764383333	pos	M+H-H2O	C10H10O3	80	0	B(i)	-0.008150118	-	HMDB0002040;HMDB0246971	nonnatural	943-89-5;_	-	-	52	COC1=CC=C(C=CC(=O)O)C=C1	4.764534864	4.812968973	4.744060392	4.471340627	4.549263207	4.443928576	4.938343719	5.03213121	5.091314157	4.842469639	4.932408166	4.911766344	5.2545498	4.783752802	5.063064852	4.687690503	4.861905934	5.049596717	5.084337564	4.90395378	4.844190223	5.009772539	5.571593116	4.946568466	4.758938825	4.927870028	4.947618363	4.864272898	4.909814856	4.904041656	4.978969881	4.992401404	4.959727752
metab_2641	metab_2641	2.76_202.1227m/z	pos_2642	202.1227368	2.756566667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.785818322	4.97092067	5.176769519	5.800736852	5.52429342	5.466995316	3.982828544	5.073658483	3.696563209	4.968734208	4.514867989	4.997837752	4.952713052	4.90684818	4.904984492	5.433605371	4.962616335	4.858135876	4.901646467	4.979350668	4.701693301	4.831084025	3.727824931	5.039344512	4.743659644	5.122606613	4.641570547	4.342407253	4.187034187	4.366040116	5.049350699	4.967117169	5.004473863
